repositories,stars_count,forks_count,issues_count,pull_requests,contributors,language,stars_count_zscore,stars_count_outlier,forks_count_zscore,forks_count_outlier,issues_count_zscore,issues_count_outlier,pull_requests_zscore,pull_requests_outlier,contributors_zscore,contributors_outlier,health_score,activity_ratio,issues_per_contributor,prs_per_contributor,health_category
octocat/Hello-World,0.0,0.0,612.0,316.0,2.0,Unknown,-0.48005598867893856,0,-0.4160468828182531,0,18.09083539160047,1,10.909433242852293,1,-0.17085205402828305,0,-306.0,0.5154975530179445,306.0,158.0,Unhealthy
EddieHubCommunity/support,271.0,150.0,536.0,6.0,71.0,Unknown,1.115740481455166,0,0.7555766254079087,0,15.811216272418584,1,0.05611796496399168,0,1.6978213901284172,0,-1.619718309859155,0.0111731843575419,7.549295774647887,0.08450704225352113,Unhealthy
ethereum/aleth,0.0,0.0,313.0,27.0,154.0,C++,-0.48005598867893856,0,-0.4160468828182531,0,9.122333856924353,1,0.7913425483048121,0,3.9456459678821294,1,-2.0324675324675323,0.08598726114649681,2.0324675324675323,0.17532467532467533,Unhealthy
localstack/localstack,0.0,0.0,290.0,30.0,434.0,Python,-0.48005598867893856,0,-0.4160468828182531,0,8.432449123487729,1,0.8963746316392149,0,11.528668639822362,1,-0.6682027649769585,0.10309278350515463,0.6682027649769585,0.06912442396313365,Unhealthy
education/classroom,0.0,589.0,202.0,22.0,67.0,Ruby,-0.48005598867893856,0,4.184528092816476,1,5.792890143382384,1,0.6162890760808072,0,1.5894924948149853,0,5.776119402985074,0.10837438423645321,3.014925373134328,0.3283582089552239,Unhealthy
shobhit97/open-gpstracker,0.0,0.0,172.0,0.0,3.0,Java,-0.48005598867893856,0,-0.4160468828182531,0,4.8930404910737435,1,-0.15394620170481416,0,-0.14376983019992506,0,-57.333333333333336,0.0,57.333333333333336,0.0,Unhealthy
donnemartin/system-design-primer,0.0,0.0,164.0,164.0,115.0,Python,-0.48005598867893856,0,-0.4160468828182531,0,4.653080583791439,1,5.587807687242545,1,2.889439238576168,0,-1.4260869565217391,0.9939393939393939,1.4260869565217391,1.4260869565217391,Unhealthy
jgthms/bulma,0.0,0.0,151.0,159.0,380.0,CSS,-0.48005598867893856,0,-0.4160468828182531,0,4.263145734457695,1,5.41275421501854,1,10.066228553091031,1,-0.3973684210526316,1.0460526315789473,0.3973684210526316,0.41842105263157897,Unhealthy
sukritishah15/DS-Algo-Point,956.0,289.0,142.0,16.0,186.0,Java,5.1493957657424785,1,1.8412810763641523,0,3.993190838765103,1,0.40622490941200134,0,4.812277130389584,1,5.93010752688172,0.11188811188811189,0.7634408602150538,0.08602150537634409,Unhealthy
taniarascia/comments,4.0,0.0,117.0,0.0,0.0,Unknown,-0.4565017972378448,0,-0.4160468828182531,0,3.2433161285079026,1,-0.15394620170481416,0,-0.22501650168499898,0,-113.0,0.0,117.0,0.0,Unhealthy
trailofbits/algo,0.0,0.0,115.0,10.0,163.0,Jinja,-0.48005598867893856,0,-0.4160468828182531,0,3.1833261516873264,1,0.19616074274319556,0,4.189385982337352,1,-0.7055214723926381,0.08620689655172414,0.7055214723926381,0.06134969325153374,Unhealthy
octocat/octocat.github.io,233.0,198.0,106.0,18.0,0.0,CSS,0.8919756627647748,0,1.1304961480402806,0,2.9133712559947345,0,0.4762462983016033,0,-0.22501650168499898,0,325.0,0.16822429906542055,106.0,18.0,Healthy
felangel/bloc,0.0,0.0,85.0,6.0,169.0,Dart,-0.48005598867893856,0,-0.4160468828182531,0,2.283476499378686,0,0.05611796496399168,0,4.351879325307499,1,-0.5029585798816568,0.06976744186046512,0.5029585798816568,0.03550295857988166,Unhealthy
iamrajiv/new-keptn-docs-engine,0.0,1.0,81.0,3.0,0.0,JavaScript,-0.48005598867893856,0,-0.4082360594300787,0,2.1634965457375337,0,-0.048914118370411236,0,-0.22501650168499898,0,-80.0,0.036585365853658534,81.0,3.0,Unhealthy
SauravMukherjee44/Aec-Library-Website,5.0,2.0,81.0,29.0,184.0,HTML,-0.45061324937757136,0,-0.4004252360419043,0,2.1634965457375337,0,0.861363937194414,0,4.758112682732869,1,-0.40217391304347827,0.35365853658536583,0.44021739130434784,0.15760869565217392,Unhealthy
mattgallagher/AudioStreamer,0.0,566.0,75.0,6.0,7.0,Objective-C,-0.48005598867893856,0,4.004879154888464,1,1.9835266152758058,0,0.05611796496399168,0,-0.035440934886493164,0,70.14285714285714,0.07894736842105263,10.714285714285714,0.8571428571428571,Healthy
WhiteHouse/petitions,0.0,353.0,65.0,16.0,25.0,JavaScript,-0.48005598867893856,0,2.3411737732073146,0,1.6835767311729253,0,0.40622490941200134,0,0.45203909402395037,0,11.52,0.24242424242424243,2.6,0.64,Healthy
EddieHubCommunity/LinkFree,0.0,956.0,63.0,22.0,658.0,JavaScript,-0.48005598867893856,0,7.051100276276485,1,1.6235867543523492,0,0.6162890760808072,0,17.595086777374547,1,1.3571428571428572,0.34375,0.09574468085106383,0.03343465045592705,Unhealthy
rrousselGit/freezed,0.0,169.0,61.0,6.0,73.0,Dart,-0.48005598867893856,0,0.9039822697832226,0,1.5635967775317734,0,0.05611796496399168,0,1.7519858377851332,0,1.4794520547945205,0.0967741935483871,0.8356164383561644,0.0821917808219178,Unhealthy
google/accompanist,0.0,389.0,59.0,6.0,75.0,Kotlin,-0.48005598867893856,0,2.6223634151815935,0,1.5036068007111973,0,0.05611796496399168,0,1.806150285441849,0,4.4,0.1,0.7866666666666666,0.08,Unhealthy
